478087,My Little Pony: A New Generation,2021,USA,"Biography, Crime, Drama",Robert Luketic,123,https://www.dukelearntoprogram.com//capstone/data/ia.media-imdb.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1_SX300.jpg,7
453562,The Starling,2021,USA,"Biography, Drama, Sport",Brian Helgeland,128,https://www.dukelearntoprogram.com//capstone/data/ia.media-imdb.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX300.jpg,8
1370429,Je Suis Karl,2021,India,"Comedy, Crime, Drama","Krishna D.K., Raj Nidimoru",135,https://www.dukelearntoprogram.com//capstone/data/ia.media-imdb.com/images/M/MV5BMjA5MDE2ODQ5OV5BMl5BanBnXkFtZTcwMTY3NDMzMg@@._V1_SX300.jpg,7
416449,Confessions of an Invisible Girl,2021,USA,"Action, Fantasy, War",Zack Snyder,117,https://www.dukelearntoprogram.com//capstone/data/ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1_SX300.jpg,9
450385,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2021,USA,Horror,Mikael Håfström,104,https://www.dukelearntoprogram.com//capstone/data/ia.media-imdb.com/images/M/MV5BMTk1MDg0NTU0OV5BMl5BanBnXkFtZTcwMTM1NDk0MQ@@._V1_SX300.jpg,7
1190080,Intrusion,2021,USA,"Action, Adventure, Sci-Fi",Roland Emmerich,158,https://www.dukelearntoprogram.com//capstone/data/ia.media-imdb.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg,6
212712,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,"Hong Kong, China, France, Italy, Germany","Drama, Romance, Sci-Fi",Kar-wai Wong,129,https://www.dukelearntoprogram.com//capstone/data/ia.media-imdb.com/images/M/MV5BMzY1MjkzNDY4MF5BMl5BanBnXkFtZTcwMzE1NzAzMQ@@._V1_SX300.jpg,8
1975159,Ankahi Kahaniya,2021,"Japan, USA","Horror, Mystery, Sci-Fi",Takashi Shimizu,97,https://www.dukelearntoprogram.com//capstone/data/ia.media-imdb.com/images/M/MV5BMjE0NTYxMTA2N15BMl5BanBnXkFtZTcwOTU5ODQzNw@@._V1_SX300.jpg,9
78718,The Father Who Moves Mountains,2021,USA,"Crime, Drama, Thriller",Norman Jewison,119,https://www.dukelearntoprogram.com//capstone/data/ia.media-imdb.com/images/M/MV5BNjE2OTgxMDU1N15BMl5BanBnXkFtZTcwOTg2ODAyMQ@@._V1_SX300.jpg,9
381270,The Stronghold,2021,France,"Comedy, Drama, Music",Yvan Attal,100,https://www.dukelearntoprogram.com//capstone/data/ia.media-imdb.com/images/M/MV5BMTIxMzEzNTk3NF5BMl5BanBnXkFtZTcwMzE4NjAzMQ@@._V1_SX300.jpg,8
